link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,10,2615.0,1720.0,832.0,56.0,3.5,7.0,0.26768642447418733,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,12,2949.0,1111.0,1752.0,69.0,6.0,12.0,0.40691759918616477,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2020,2,2646.0,1074.0,1497.0,69.0,2.5,5.0,0.1889644746787604,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2020,10,2061.0,1821.0,176.0,44.0,8.5,17.0,0.8248423095584668,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2020,11,2343.0,1969.0,306.0,53.0,7.5,15.0,0.6402048655569782,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2020,12,630.0,301.0,267.0,31.0,12.0,24.0,3.8095238095238098,0.11,-42.44,ATC_permanent,North East
A006_Link04,U0001,Luwero - Nakasongola,0.818018,32.503798,2025,7,9960.164129244722,,3143.5086538461537,,2070.0582524271845,4140.116504854369,56.84142737506017,0.11,6.5,ATC_new,Central
A006_Link09,U0007,Kamdini - Minakulu,2.25441,32.34248,2025,7,1547.025,,1366.6756756756756,,733.3148148148148,1466.6296296296296,51.763910754107435,0.11,6.5,ATC_new,Northern
M3Int4_S2,U00010,Zana - Kisubi (Entebbe Road),0.1189,32.52938,2025,7,1949.4073724007562,,1934.2553398058253,,417.79761904761904,835.5952380952381,30.16752039846262,0.11,6.5,ATC_new,Central
A008_Link03,U0008,Pakwachi - Nebbi,2.42511,31.24403,2025,7,1557.8429752066115,,1282.1919191919192,,628.1836734693877,1256.3673469387754,49.49135376515149,0.11,6.5,ATC_new,Northern
A001_Link07,U0003,Iganga - Nakalama,0.62756,33.5143,2025,7,3281.793187347932,,2871.457059679767,,1734.3133971291866,3468.626794258373,54.70947820514767,0.11,6.5,ATC_new,Eastern
A005_Link02,U0009,Kampala - Mityana,0.38527,32.10109,2025,7,1935.2191103789128,,1783.993091537133,,1057.8059701492537,2115.6119402985073,54.25195431401515,0.11,6.5,ATC_new,Central
B101_Link03,U0006,Kayunga - Kangulumira,0.68051,32.92356,2025,7,1694.929745889387,,1668.4102167182662,,501.0267857142857,1002.0535714285714,37.523578334081975,0.11,6.5,ATC_new,Central
C452_Link03,U0005,Ishaka - Kizinda - Rugazi,-0.52679,30.1236,2025,7,2109.7756653992396,,2090.528712871287,,771.7857142857143,1543.5714285714287,42.474653105146416,0.11,6.5,ATC_new,Southern
C002_Link01,U0002,Kampala - Mukono,0.3687,32.73805,2025,7,4492.229233226837,,3866.6255319148936,,2153.358565737052,4306.717131474104,52.692237543952004,0.11,6.5,ATC_new,Central
C165_Link01,U0004,Buwama - Lukaya,0.01665,32.05515,2025,7,1734.8118721461187,,1388.7714285714285,,998.6628959276018,1997.3257918552035,58.98607340056085,0.11,6.5,ATC_new,Central
A007_Link02,A00704,Tororo - Magodes - Nabumali,34.160358,0.923931,2020,6,2835.6,,,,,,4.848484848484849,0.11,6.5,manual_count,East
A007_Link04,A00711,Mbale - Namunsi - Kumi,34.16464,1.14575,2020,6,2290.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
A012_Link04,A01204,Kamonkoli - Mbale,33.933866,1.013585,2020,6,2280.2,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C939_Link01,C93901,Arapai-Amuria,33.630621,1.905648,2020,6,424.6,,,,,,0.40691759918616477,0.11,6.5,manual_count,North East
B300_Link01,B30001,Namunsi - Sironko,34.182165,1.138424,2020,6,2846.4,,,,,,4.848484848484849,0.11,6.5,manual_count,East
B300_Link03,B30005,Muyembe - Namalu,34.411237,1.475982,2020,6,1115.2,,,,,,4.848484848484849,0.11,6.5,manual_count,East
B300_Link05,B30009,Lokapel - Ariamoi,34.602362,2.320386,2020,6,144.4,,,,,,0.40691759918616477,0.11,6.5,manual_count,North East
B303_Link01,B30301,Soroti - Arapai,33.61628,1.746355,2020,6,2914.0,,,,,,0.40691759918616477,0.11,6.5,manual_count,North East
B304_Link01,B30401,Muyembe - Kaserem - Kapchorwa,34.319641,1.339773,2020,6,1799.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
B305_Link01,B30501,Tirinyi - Pallisa,33.749118,1.088482,2020,6,1183.0,,,,,,4.848484848484849,0.11,-1.95,manual_count,East
C800_Link01,C80001,Bugiri - Nankoma,33.728199,0.502031,2020,6,510.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C806_Link01,C80601,Bugiri - Kiseitaka - Nabukalu - Naigaga,33.688172,0.806054,2020,6,646.4,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C817_Link01,C81701,Nankoma - Kaluba,33.627001,0.402527,2020,6,436.0,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C830_Link01,C83001,Busia - Majanji,34.030027,0.402872,2020,6,1112.6,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C832_Link01,C83201,Tororo-Nagongera,34.044244,0.759378,2020,6,1548.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C840_Link02,C84002,Apokor - Kwapa - Tuba,34.22404,0.761605,2020,6,408.0,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C844_Link01,C84401,Rubongi - Mulanda,34.083566,0.685011,2020,6,808.0,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C862_Link01,C86201,Namagumba - Budadiri,34.264365,1.147174,2020,6,1377.6,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C872_Link01,C87201,Budaka - Kaderuna,33.933242,1.065014,2020,6,753.0,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C876_Link01,C87601,Nabiganda -Nambale - Kamoto - Malukhu,34.129963,1.051926,2020,6,667.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C878_Link01,C87801,Nakaloke-Kabwangasi-Butebo,34.138713,1.141863,2020,6,1009.6,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C967_Link01,C96703,Kokeris - Lopei,34.366595,2.513746,2020,6,76.4,,,,,,0.40691759918616477,0.11,6.5,manual_count,North East
C882_Link01,C88202,Korir - Sironko,34.195733,1.284688,2020,6,431.6,,,,,,4.848484848484849,0.11,6.5,manual_count,East
B308_Link01,B30801,Namutere - Busia,34.019887,0.480938,2020,6,1949.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C964_Link01,C96401,Soroti-Toroma,33.799291,1.721511,2020,6,226.2,,,,,,0.40691759918616477,0.11,6.5,manual_count,North East
A001_Link06,A00122,Kakira junction - Iganga,33.333223,0.51135,2020,6,7325.8,,,,,,4.848484848484849,0.11,6.5,manual_count,East
C965_Link01,C96501,Apeitolim - Iriri,34.055852,2.217853,2020,6,79.0,,,,,,0.40691759918616477,0.11,6.5,manual_count,North East
C310_Link01,C31001,Kamuli - Namasagali,33.026061,0.958745,2020,6,316.2,,,,,,4.848484848484849,0.11,6.5,manual_count,East
B305_Link02,B30502,Pallisa - Kanyago Bridge,33.794974,1.216074,2020,6,1110.4,,,,,,4.848484848484849,0.11,6.5,manual_count,East
B306_Link01,B30601,Tororo(Malaba junction) - Busia,34.131228,0.564168,2020,6,960.6,,,,,,4.848484848484849,0.11,6.5,manual_count,East
