link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region,road_class,road_class_enc,region_enc,dist_kampala_km,dist_nearest_town_km,length_km,surface_enc,betweenness_proxy,is_dry_season,is_holiday_month,year_norm,month_sin,month_cos,gdp_proxy,spatial_lag_aadt_k3,spatial_lag_aadt_k5,station_mean_aadt,log_AADT
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,8,2296.0,372.0,1445.0,251.0,82.5,165.0,7.186411149825784,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.3333333333333333,-0.8660254037844385,-0.5000000000000004,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.739359202689098
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,9,2317.0,606.0,1207.0,219.0,90.0,180.0,7.768666378938283,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.3333333333333333,-1.0,-1.8369701987210297e-16,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.748460023899697
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,10,2273.0,589.0,1203.0,206.0,90.5,181.0,7.96304443466784,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.3333333333333333,-0.8660254037844386,0.5000000000000001,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.729295674310482
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,11,2467.0,391.0,1487.0,287.0,102.5,205.0,8.309687880016215,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.3333333333333333,-0.5000000000000004,0.8660254037844384,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.811163385025279
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,12,2623.0,408.0,1624.0,286.0,97.5,195.0,7.434235608082348,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.3333333333333333,-2.4492935982947064e-16,1.0,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.8724551500639794
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2020,2,2570.0,531.0,1460.0,255.0,101.5,203.0,7.898832684824902,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.4444444444444444,0.8660254037844386,0.5000000000000001,3.0,2256.0,2034.0444444444445,2532.7619047619046,7.852050207265889
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2020,3,1983.0,386.0,1258.0,180.0,71.5,143.0,7.211296016137165,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.4444444444444444,1.0,6.123233995736766e-17,3.0,2256.0,2034.0444444444445,2532.7619047619046,7.592870287844818
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2020,8,2726.0,699.0,1579.0,242.0,91.5,183.0,6.713132795304476,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.4444444444444444,-0.8660254037844385,-0.5000000000000004,3.0,2256.0,2034.0444444444445,2532.7619047619046,7.910957382845589
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2020,9,2625.0,533.0,1672.0,229.0,84.0,168.0,6.4,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.4444444444444444,-1.0,-1.8369701987210297e-16,3.0,2256.0,2034.0444444444445,2532.7619047619046,7.873217054862741
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2020,11,2809.0,672.0,1647.0,248.0,92.0,184.0,6.550373798504807,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.4444444444444444,-0.5000000000000004,0.8660254037844384,3.0,2256.0,2034.0444444444445,2532.7619047619046,7.940939762327791
